Year,Name,Party
1984,WY,Republican
1980,AL,Republican
1980,AK,Republican
1980,AZ,Republican
1980,AR,Republican
1980,CA,Republican
1980,CO,Republican
1980,CT,Republican
1980,DE,Republican
1980,DC,Democratic
1980,FL,Republican
1980,GA,Democratic
1980,HI,Democratic
1980,ID,Republican
1980,IL,Republican
1980,IN,Republican
1980,IA,Republican
1980,KS,Republican
1980,KY,Republican
1980,LA,Republican
1980,ME,Republican
1980,MD,Democratic
1980,MA,Republican
1980,MI,Republican
1980,MN,Democratic
1980,MS,Republican
1980,MO,Republican
1980,MT,Republican
1980,NE,Republican
1980,NV,Republican
1980,NH,Republican
1980,NJ,Republican
1980,NM,Republican
1980,NY,Republican
1980,NC,Republican
1980,ND,Republican
1980,OH,Republican
1980,OK,Republican
1980,OR,Republican
1980,PA,Republican
1980,RI,Democratic
1980,SC,Republican
1980,SD,Republican
1980,TN,Republican
1980,TX,Republican
1980,UT,Republican
1980,VT,Republican
1980,VA,Republican
1980,WA,Republican
1980,WV,Democratic
1980,WI,Republican
1980,WY,Republican
1976,AL,Democratic
1976,AK,Republican
1976,AZ,Republican
1976,AR,Democratic
1976,CA,Republican
1976,CO,Republican
1976,CT,Republican
1976,DE,Democratic
1976,DC,Democratic
1976,FL,Democratic
1976,GA,Democratic
1976,HI,Democratic
1976,ID,Republican
1976,IL,Republican
1976,IN,Republican
1976,IA,Republican
1976,KS,Republican
1976,KY,Democratic
1976,LA,Democratic
1976,ME,Republican
1976,MD,Democratic
1976,MA,Democratic
1976,MI,Republican
1976,MN,Democratic
1976,MS,Democratic
1976,MO,Democratic
1976,MT,Republican
1976,NE,Republican
1976,NV,Republican
1976,NH,Republican
1976,NJ,Republican
1976,NM,Republican
1976,NY,Democratic
1976,NC,Democratic
1976,ND,Republican
1976,OH,Democratic
1976,OK,Republican
1976,OR,Republican
1976,PA,Democratic
1976,RI,Democratic
1976,SC,Democratic
1976,SD,Republican
1976,TN,Democratic
1976,TX,Democratic
1976,UT,Republican
1976,VT,Republican
1976,VA,Republican
1976,WA,Republican
1976,WV,Democratic
1976,WI,Democratic
1976,WY,Republican
1972,AL,Republican
1972,AK,Republican
1972,AZ,Republican
1972,AR,Republican
1972,CA,Republican
1972,CO,Republican
1972,CT,Republican
1972,DE,Republican
1972,DC,Democratic
1972,FL,Republican
1972,GA,Republican
1972,HI,Republican
1972,ID,Republican
1972,IL,Republican
1972,IN,Republican
1972,IA,Republican
1972,KS,Republican
1972,KY,Republican
1972,LA,Republican
1972,ME,Republican
1972,MD,Republican
1972,MA,Democratic
1972,MI,Republican
1972,MN,Republican
1972,MS,Republican
1972,MO,Republican
1972,MT,Republican
1972,NE,Republican
1972,NV,Republican
1972,NH,Republican
1972,NJ,Republican
1972,NM,Republican
1972,NY,Republican
1972,NC,Republican
1972,ND,Republican
1972,OH,Republican
1972,OK,Republican
1972,OR,Republican
1972,PA,Republican
1972,RI,Republican
1972,SC,Republican
1972,SD,Republican
1972,TN,Republican
1972,TX,Republican
1972,UT,Republican
1972,VT,Republican
1972,VA,Republican
1972,WA,Republican
1972,WV,Republican
1972,WI,Republican
1972,WY,Republican
1968,AL,AI
1968,AK,Republican
1968,AZ,Republican
1968,AR,AI
1968,CA,Republican
1968,CO,Republican
1968,CT,Democratic
1968,DE,Republican
1968,DC,Democratic
1968,FL,Republican
1968,GA,AI
1968,HI,Democratic
1968,ID,Republican
1968,IL,Republican
1968,IN,Republican
1968,IA,Republican
1968,KS,Republican
1968,KY,Republican
1968,LA,AI
1968,ME,Democratic
1968,MD,Democratic
1968,MA,Democratic
1968,MI,Democratic
1968,MN,Democratic
1968,MS,AI
1968,MO,Republican
1968,MT,Republican
1968,NE,Republican
1968,NV,Republican
1968,NH,Republican
1968,NJ,Republican
1968,NM,Republican
1968,NY,Democratic
1968,NC,Republican
1968,ND,Republican
1968,OH,Republican
1968,OK,Republican
1968,OR,Republican
1968,PA,Democratic
1968,RI,Democratic
1968,SC,Republican
1968,SD,Republican
1968,TN,Republican
1968,TX,Democratic
1968,UT,Republican
1968,VT,Republican
1968,VA,Republican
1968,WA,Democratic
1968,WV,Democratic
1968,WI,Republican
1968,WY,Republican
1964,AL,Republican
1964,AK,Democratic
1964,AZ,Republican
1964,AR,Democratic
1964,CA,Democratic
1964,CO,Democratic
1964,CT,Democratic
1964,DE,Democratic
1964,DC,Democratic
1964,FL,Democratic
1964,GA,Republican
1964,HI,Democratic
1964,ID,Democratic
1964,IL,Democratic
1964,IN,Democratic
1964,IA,Democratic
1964,KS,Democratic
1964,KY,Democratic
1964,LA,Republican
1964,ME,Democratic
1964,MD,Democratic
1964,MA,Democratic
1964,MI,Democratic
1964,MN,Democratic
1964,MS,Republican
1964,MO,Democratic
1964,MT,Democratic
1964,NE,Democratic
1964,NV,Democratic
1964,NH,Democratic
1964,NJ,Democratic
1964,NM,Democratic
1964,NY,Democratic
1964,NC,Democratic
1964,ND,Democratic
1964,OH,Democratic
1964,OK,Democratic
1964,OR,Democratic
1964,PA,Democratic
1964,RI,Democratic
1964,SC,Republican
1964,SD,Democratic
1964,TN,Democratic
1964,TX,Democratic
1964,UT,Democratic
1964,VT,Democratic
1964,VA,Democratic
1964,WA,Democratic
1964,WV,Democratic
1964,WI,Democratic
1964,WY,Democratic
1960,AL,Independent
1960,AK,Republican
1960,AZ,Republican
1960,AR,Democratic
1960,CA,Republican
1960,CO,Republican
1960,CT,Democratic
1960,DE,Democratic
1960,DC,
1960,FL,Republican
1960,GA,Democratic
1960,HI,Democratic
1960,ID,Republican
1960,IL,Democratic
1960,IN,Republican
1960,IA,Republican
1960,KS,Republican
1960,KY,Republican
1960,LA,Democratic
1960,ME,Republican
1960,MD,Democratic
1960,MA,Democratic
1960,MI,Democratic
1960,MN,Democratic
1960,MS,Independent
1960,MO,Democratic
1960,MT,Republican
1960,NE,Republican
1960,NV,Democratic
1960,NH,Republican
1960,NJ,Democratic
1960,NM,Democratic
1960,NY,Democratic
1960,NC,Democratic
1960,ND,Republican
1960,OH,Republican
1960,OK,Republican
1960,OR,Republican
1960,PA,Democratic
1960,RI,Democratic
1960,SC,Democratic
1960,SD,Republican
1960,TN,Republican
1960,TX,Democratic
1960,UT,Republican
1960,VT,Republican
1960,VA,Republican
1960,WA,Republican
1960,WV,Democratic
1960,WI,Republican
1960,WY,Republican
1956,AL,Democratic
1956,AK,
1956,AZ,Republican
1956,AR,Democratic
1956,CA,Republican
1956,CO,Republican
1956,CT,Republican
1956,DE,Republican
1956,DC,
1956,FL,Republican
1956,GA,Democratic
1956,HI,
1956,ID,Republican
1956,IL,Republican
1956,IN,Republican
1956,IA,Republican
1956,KS,Republican
1956,KY,Republican
1956,LA,Republican
1956,ME,Republican
1956,MD,Republican
1956,MA,Republican
1956,MI,Republican
1956,MN,Republican
1956,MS,Democratic
1956,MO,Democratic
1956,MT,Republican
1956,NE,Republican
1956,NV,Republican
1956,NH,Republican
1956,NJ,Republican
1956,NM,Republican
1956,NY,Republican
1956,NC,Democratic
1956,ND,Republican
1956,OH,Republican
1956,OK,Republican
1956,OR,Republican
1956,PA,Republican
1956,RI,Republican
1956,SC,Democratic
1956,SD,Republican
1956,TN,Republican
1956,TX,Republican
1956,UT,Republican
1956,VT,Republican
1956,VA,Republican
1956,WA,Republican
1956,WV,Republican
1956,WI,Republican
1956,WY,Republican
1952,AL,Democratic
1952,AK,
1952,AZ,Republican
1952,AR,Democratic
1952,CA,Republican
1952,CO,Republican
1952,CT,Republican
1952,DE,Republican
1952,DC,
1952,FL,Republican
1952,GA,Democratic
1952,HI,
1952,ID,Republican
1952,IL,Republican
1952,IN,Republican
1952,IA,Republican
1952,KS,Republican
1952,KY,Democratic
1952,LA,Democratic
1952,ME,Republican
1952,MD,Republican
1952,MA,Republican
1952,MI,Republican
1952,MN,Republican
1952,MS,Democratic
1952,MO,Republican
1952,MT,Republican
1952,NE,Republican
1952,NV,Republican
1952,NH,Republican
1952,NJ,Republican
1952,NM,Republican
1952,NY,Republican
1952,NC,Democratic
1952,ND,Republican
1952,OH,Republican
1952,OK,Republican
1952,OR,Republican
1952,PA,Republican
1952,RI,Republican
1952,SC,Democratic
1952,SD,Republican
1952,TN,Republican
1952,TX,Republican
1952,UT,Republican
1952,VT,Republican
1952,VA,Republican
1952,WA,Republican
1952,WV,Democratic
1952,WI,Republican
1952,WY,Republican
